,nid,pitch,onset,duration,ts,label,duration_basis.duration,fermata_basis.fermata,grace_basis.grace_note,grace_basis.n_grace,grace_basis.grace_pos,onset_basis.onset,onset_basis.score_position,polynomial_pitch_basis.pitch,polynomial_pitch_basis.pitch^2,polynomial_pitch_basis.pitch^3,relative_score_position_basis.score_position,slur_basis.slur_incr,slur_basis.slur_decr,time_signature_basis.time_signature_num_1,time_signature_basis.time_signature_num_2,time_signature_basis.time_signature_num_3,time_signature_basis.time_signature_num_4,time_signature_basis.time_signature_num_5,time_signature_basis.time_signature_num_6,time_signature_basis.time_signature_num_7,time_signature_basis.time_signature_num_8,time_signature_basis.time_signature_num_9,time_signature_basis.time_signature_num_10,time_signature_basis.time_signature_num_11,time_signature_basis.time_signature_num_12,time_signature_basis.time_signature_num_other,time_signature_basis.time_signature_den_1,time_signature_basis.time_signature_den_2,time_signature_basis.time_signature_den_4,time_signature_basis.time_signature_den_8,time_signature_basis.time_signature_den_16,time_signature_basis.time_signature_den_other,vertical_neighbor_basis.n_total,vertical_neighbor_basis.n_above,vertical_neighbor_basis.n_below,vertical_neighbor_basis.highest_pitch,vertical_neighbor_basis.lowest_pitch,vertical_neighbor_basis.pitch_range
1185,1185,55.0,0.0,0.25,4,0.0,0.5,0.0,0.0,0.0,0.0,272.0,0.9379310607910156,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.9379310607910156,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,79.0,55.0,24.0
1186,1186,79.0,0.0,0.5,4,0.0,0.25,0.0,0.0,0.0,0.0,272.0,0.9379310607910156,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.9379310607910156,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,79.0,55.0,24.0
1187,1187,64.0,0.25,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,272.25,0.9387931227684021,0.5039370078740157,0.25395250790501583,0.127976066975756,0.9387931227684021,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,0.0
1188,1188,60.0,0.5,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,272.5,0.9396551847457886,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.9396551847457886,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,81.0,60.0,21.0
1189,1189,81.0,0.5,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,272.5,0.9396551847457886,0.6377952755905512,0.4067828135656271,0.25944415668358894,0.9396551847457886,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,81.0,60.0,21.0
1190,1190,64.0,0.75,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,272.75,0.940517246723175,0.5039370078740157,0.25395250790501583,0.127976066975756,0.940517246723175,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,83.0,64.0,19.0
1191,1191,83.0,0.75,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,272.75,0.940517246723175,0.6535433070866141,0.42711885423770846,0.27914066851755753,0.940517246723175,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,83.0,64.0,19.0
1192,1192,55.0,1.0,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,273.0,0.9413793087005615,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.9413793087005615,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,84.0,55.0,29.0
1193,1193,84.0,1.0,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,273.0,0.9413793087005615,0.6614173228346457,0.4374728749457499,0.2893521377593936,0.9413793087005615,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,84.0,55.0,29.0
1194,1194,64.0,1.25,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,273.25,0.942241370677948,0.5039370078740157,0.25395250790501583,0.127976066975756,0.942241370677948,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,86.0,64.0,22.0
