,src,des
532,568,569
533,569,568
534,572,573
535,573,572
536,574,575
537,575,574
538,577,578
539,577,579
540,578,577
541,578,579
542,579,577
543,579,578
544,580,581
545,581,580
546,583,584
547,584,583
548,586,587
549,587,586
550,589,590
551,590,589
552,592,593
553,593,592
554,595,596
555,596,595
556,599,600
557,600,599
558,601,602
559,602,601
560,605,606
561,606,605
562,607,608
563,608,607
564,610,611
565,610,612
566,611,610
567,611,612
568,612,610
569,612,611
570,613,614
571,614,613
572,616,617
573,616,618
574,617,616
575,617,618
576,618,616
577,618,617
578,619,620
579,619,621
580,620,619
581,620,621
582,621,619
583,621,620
584,622,623
585,622,624
586,623,622
587,623,624
588,624,622
589,624,623
590,625,626
591,625,627
592,626,625
593,626,627
594,627,625
595,627,626
596,630,631
597,631,630
598,632,633
599,633,632
600,638,639
601,639,638
602,641,642
603,642,641
604,645,646
605,646,645
606,647,648
607,648,647
608,650,651
609,651,650
610,653,654
611,654,653
612,655,656
613,656,655
614,661,662
615,662,661
616,664,665
617,665,664
618,668,669
619,669,668
620,670,671
621,671,670
622,673,674
623,674,673
624,676,677
625,677,676
626,681,682
627,682,681
628,686,687
629,687,686
630,693,694
631,693,695
632,694,693
633,694,695
634,695,693
635,695,694
636,697,698
637,697,699
638,698,697
639,698,699
640,699,697
641,699,698
642,700,701
643,701,700
644,709,710
645,709,711
646,710,709
647,710,711
648,711,709
649,711,710
650,712,713
651,713,712
652,716,717
653,716,718
654,717,716
655,717,718
656,718,716
657,718,717
658,719,720
659,720,719
660,723,724
661,723,725
662,724,723
663,724,725
664,725,723
665,725,724
666,726,727
667,727,726
668,730,731
669,730,732
670,731,730
671,731,732
672,732,730
673,732,731
674,733,734
675,733,735
676,733,736
677,733,737
678,734,733
679,734,735
680,734,736
681,734,737
682,735,733
683,735,734
684,735,736
685,735,737
686,736,733
687,736,734
688,736,735
689,736,737
690,737,733
691,737,734
692,737,735
693,737,736
694,745,746
695,745,747
696,745,748
697,745,749
698,746,745
699,746,747
700,746,748
701,746,749
702,747,745
703,747,746
704,747,748
705,747,749
706,748,745
707,748,746
708,748,747
709,748,749
710,749,745
711,749,746
712,749,747
713,749,748
714,757,758
715,757,759
716,758,757
717,758,759
718,759,757
719,759,758
720,761,762
721,762,761
722,763,764
723,764,763
724,765,766
725,765,767
726,766,765
727,766,767
728,767,765
729,767,766
730,769,770
731,770,769
732,771,772
733,772,771
734,773,774
735,773,775
736,774,773
737,774,775
738,775,773
739,775,774
740,785,786
741,786,785
742,790,791
743,791,790
744,795,796
745,796,795
746,800,801
747,801,800
748,803,804
749,803,805
750,803,806
751,803,807
752,804,803
753,804,805
754,804,806
755,804,807
756,805,803
757,805,804
758,805,806
759,805,807
760,806,803
761,806,804
762,806,805
763,806,807
764,807,803
765,807,804
766,807,805
767,807,806
768,815,816
769,815,817
770,815,818
771,815,819
772,816,815
773,816,817
774,816,818
775,816,819
776,817,815
777,817,816
778,817,818
779,817,819
780,818,815
781,818,816
782,818,817
783,818,819
784,819,815
785,819,816
786,819,817
787,819,818
788,827,828
789,827,829
790,828,827
791,828,829
792,829,827
793,829,828
794,831,832
795,832,831
796,833,834
797,834,833
798,835,836
799,835,837
800,836,835
801,836,837
802,837,835
803,837,836
804,839,840
805,840,839
806,841,842
807,842,841
808,843,844
809,843,845
810,844,843
811,844,845
812,845,843
813,845,844
814,853,854
815,854,853
816,855,856
817,856,855
818,857,858
819,858,857
820,859,860
821,860,859
822,861,862
823,862,861
824,866,867
825,867,866
826,868,869
827,869,868
828,870,871
829,871,870
830,872,873
831,873,872
832,874,875
833,875,874
834,879,880
835,879,881
836,880,879
837,880,881
838,881,879
839,881,880
840,883,884
841,884,883
842,885,886
843,886,885
844,887,888
845,887,889
846,888,887
847,888,889
848,889,887
849,889,888
850,891,892
851,892,891
852,893,894
853,894,893
854,895,896
855,895,897
856,896,895
857,896,897
858,897,895
859,897,896
860,907,908
861,908,907
862,910,911
863,911,910
864,913,914
865,914,913
866,916,917
867,917,916
868,927,928
869,928,927
870,930,931
871,931,930
872,933,934
873,934,933
874,936,937
875,937,936
876,943,944
877,943,945
878,943,946
879,944,943
880,944,945
881,944,946
882,945,943
883,945,944
884,945,946
885,946,943
886,946,944
887,946,945
888,948,949
889,948,950
890,949,948
891,949,950
892,950,948
893,950,949
894,956,957
895,956,958
896,956,959
897,957,956
898,957,958
899,957,959
900,958,956
901,958,957
902,958,959
903,959,956
904,959,957
905,959,958
906,961,962
907,961,963
908,962,961
909,962,963
910,963,961
911,963,962
